id,agencia,ano,id_agencia,nome_mecanismo_agencia,ementa,objetivo_participacao,tema,subtema,lei_1_depois_0_antes,data_convocacao,data_convocacao_ano,instrumento_participacao,data_contribuicao_inicio,data_contribuicao_fim,doc_convocacao_existe,doc_base_existe,rac_existe,rac_data,relatorio_sintese_existe,relatorio_sintese_data,produto_final_descricao,produto_final_data,produto_final_documento,atualizacao_data
ANAC_2018_Audiência Pública nº 11/2018_183,ANAC,2018,Audiência Pública nº 11/2018,Audiência Pública,"Concessão da ampliação, manutenção e exploração do aeroportos de Recife (PE), Maceió (AL), Aracaju (SE), João Pessoa (PB), Campina Grande (PB) e Juazeiro do Norte (CE), formando o Bloco Nordeste; dos aeroportos de Vitória (ES) e Macaé (RJ), formando o Bloco Sudeste; e dos aeroportos de Cuiabá (MT), Sinop (MT), Barra do Garças (MT), Rondonópolis (MT) e Alta Floresta (MT), formando o Bloco Centro-Oeste.",Atos e contratos,Infraestrutura aeronáutica e aeroportuária,Concessões aeroportuárias,0,43219,2018,PP e PNP,43219,43294,Disponível,Disponível,Disponível,N/D,N/D,N/D,Edital de Licitação nº 1,43434,Disponível,43328
ANAC_2018_Audiência Pública nº 10/2018_182,ANAC,2018,Audiência Pública nº 10/2018,Audiência Pública,"Proposta de revisão da Resolução nº 350, de 19 de dezembro de 2014, que dispõe sobre o modelo de regulação tarifária, do reajuste dos tetos das tarifas aeroportuárias e estabelece regras para arrecadação e recolhimento, e da Portaria nº 1.592/GM5, de 7 de novembro de 1984.",Normas e regulamentos,Gestão tarifária,-,0,43228,2018,PNP,43228,43258,Disponível,Disponível,Disponível,N/D,N/D,N/D,Resolução nº 508,43538,Disponível,43328
ANAC_2018_Audiência Pública nº 09/2018_181,ANAC,2018,Audiência Pública nº 09/2018,Audiência Pública,"Propostas de emendas aos Regulamentos Brasileiros da Aviação Civil - RBACs nºs: 43, intitulado “Manutenção, Manutenção Preventiva, Reconstrução e Alteração”; 135, intitulado “Requisitos operacionais: operações complementares e por demanda”; 137, intitulado “Certificação e Requisitos Operacionais: Operações Aeroagrícolas”; e 145, intitulado “Organizações de Manutenção de Produto Aeronáutico”.",Normas e regulamentos,Serviços aéreos; Produtos aeronáuticos,-,0,43228,2018,PNP,43228,43273,Disponível,Disponível,Disponível,43373,N/D,N/D,Resolução nº 509,43538,Disponível,43328
ANAC_2018_Audiência Pública nº 12/2018_184,ANAC,2018,Audiência Pública nº 12/2018,Audiência Pública,"Proposta de alteração da Resolução nº 158, de 13 de julho de 2010, que dispõe sobre a autorização prévia para a construção de aeródromos e seu cadastramento junto à ANAC.",Normas e regulamentos,Infraestrutura aeronáutica e aeroportuária,-,0,43259,2018,PNP,43259,43290,Disponível,Disponível,N/A,N/A,N/A,N/A,Resolução nº 484,43308,Disponível,43329
ANAC_2018_Audiência Pública nº 13/2018_197,ANAC,2018,Audiência Pública nº 13/2018,Audiência Pública,"Edição do Regulamento Brasileiro da Aviação Civil nº 141 (RBAC nº 141), intitulado “Certificação e requisitos operacionais: Centros de Instrução de Aviação Civil”; alteração da Resolução nº 377, de 15 de março de 2016; alteração da Resolução nº 293, de 19 de novembro de 2013; e revogação dos Regulamentos Brasileiros de Homologação Aeronáutica 140 e 141 (RBHA 140 e 141).",Normas e regulamentos,Formação de profissionais; Serviços aéreos,-,0,43266,2018,PNP,43266,43297,Disponível,Disponível,Disponível,43616,N/D,N/D,Resolução nº 514,43580,Disponível,43328
ANAC_2018_Audiência Pública nº 14/2018_242,ANAC,2018,Audiência Pública nº 14/2018,Audiência Pública,"Proposta de emenda aos Regulamentos Brasileiros de Aviação Civil nºs 01 (RBAC nº 01), 119 (RBAC nº 119), 121 (RBAC nº 121) e 135 (RBAC nº 135).",Normas e regulamentos,Serviços aéreos,-,0,43269,2018,PNP,43269,43346,Disponível,Disponível,Disponível,43524,N/D,N/D,Resolução nº 526; Resolução nº 527,43684,Disponível,43328
ANAC_2018_Audiência Pública nº 15/2018_278,ANAC,2018,Audiência Pública nº 15/2018,Audiência Pública,"Propostas de edição de: resolução relativa ao Programa de Controle de Qualidade AVSEC da ANAC; emenda ao Regulamentos Brasileiros da Aviação Civil nº 107 (RBAC nº 107), intitulado “Segurança da Aviação Civil Contra Atos de Interferência Ilícita - Operador de Aeródromo”; e emenda ao RBAC nº 108, intitulado “Segurança da Aviação Civil Contra Atos de Interferência Ilícita - Operador Aéreo”.",Normas e regulamentos,Serviços aéreos,-,0,43280,2018,PNP,43280,43311,Disponível,Disponível,Disponível,N/D,N/D,N/D,Resolução nº 499; Resolução nº 500,43452,Disponível,NA
ANAC_2018_Audiência Pública nº 17/2018_244,ANAC,2018,Audiência Pública nº 17/2018,Audiência Pública,"Propostas de emenda ao Regulamento Brasileiro da Aviação Civil nº 45 (RBAC nº 45), intitulado “Marcas de Identificação, de Nacionalidade e de Matrícula”.",Normas e regulamentos,Produtos aeronáuticos,-,0,43298,2018,PNP,43298,43328,Disponível,Disponível,N/A,N/A,N/A,N/A,Resolução nº 487,43334,Disponível,43567
ANAC_2018_Audiência Pública nº 16/2018_243,ANAC,2018,Audiência Pública nº 16/2018,Audiência Pública,"Proposta de resolução que revoga e substitui a Resolução nº 355, de 17 de março de 2015, que dispõe sobre os procedimentos e as taxas de desconto dos fluxos de caixa marginais a serem adotados nos processos de Revisão Extraordinária nos Contratos de Concessão de infraestrutura aeroportuária federal.",Normas e regulamentos,Infraestrutura aeronáutica e aeroportuária,Concessões aeroportuárias,0,43298,2018,PNP,43298,43328,Disponível,Disponível,Disponível,N/D,N/D,N/D,Resolução nº 528,43707,Disponível,43328
ANAC_2018_Audiência Pública nº 18/2018_245,ANAC,2018,Audiência Pública nº 18/2018,Audiência Pública,Proposta de emenda ao Regulamento Brasileiro de Aviação Civil nº 135 (RBAC nº 135).,Normas e regulamentos,Serviços aéreos,-,0,43304,2018,PNP,43304,43339,Disponível,Disponível,Disponível,43374,N/D,N/D,Resolução nº 494,43390,Disponível,43567
ANAC_2018_Audiência Pública nº 19/2018_277,ANAC,2018,Audiência Pública nº 19/2018,Audiência Pública,"Submeter à audiência pública proposta de: I - edição do Regulamento Brasileiro da Aviação Civil nº 38 (RBAC nº 38), intitulado ""Requisitos para emissões de CO2 de aviões""; II - emenda ao RBAC nº 11, intitulado ""Procedimentos e normas gerais para a elaboração de regras e emendas aos regulamentos brasileiros da aviação civil""; III - emenda ao RBAC nº 21, intitulado ""Certificação de produto aeronáutico""; e IV - emenda ao RBAC nº 34, intitulado ""Requisitos para drenagem de combustível e emissões de motores de aeronaves"".",Normas e regulamentos,Produtos aeronáuticos,-,0,43325,2018,PNP,43325,43355,Disponível,Disponível,Disponível,N/D,N/D,N/D,Resolução nº 501,43452,Disponível,43558
ANAC_2018_Audiência Pública nº 20/2018_260,ANAC,2018,Audiência Pública nº 20/2018,Audiência Pública,"Proposta de resolução que altera a Portaria nº 219/GC5, de 27 de março de 2001, que aprova critérios e fixa valores para a aplicação e a cobrança das Tarifas Aeroportuárias de Armazenagem e de Capatazia, sobre cargas importadas e a serem exportadas ou em situações especiais e dá outras providências.",Normas e regulamentos,Gestão tarifária,-,0,43336,2018,PNP,43336,43367,Disponível,Disponível,Disponível,N/D,N/D,N/D,Resolução nº 519,43547,Disponível,43729
ANAC_2018_Audiência Pública nº 21/2018_271,ANAC,2018,Audiência Pública nº 21/2018,Audiência Pública,"Proposta de edição do Regulamento Brasileiro da Aviação Civil nº 136 (RBAC nº 136), intitulado ""Certificação e requisitos operacionais: voos panorâmicos"".",Normas e regulamentos,Serviços aéreos,-,0,43353,2018,PNP,43353,43383,Disponível,Disponível,Disponível,44012,N/D,N/D,Resolução nº 567,44005,Disponível,43364
ANAC_2018_Audiência Pública nº 22/2018_272,ANAC,2018,Audiência Pública nº 22/2018,Audiência Pública,"proposta de edição de resolução que regulamenta o monitoramento, o reporte e a verificação de dados de emissão de CO2 relativos ao transporte aéreo internacional dos operadores aéreos nacionais.",Normas e regulamentos,Serviços aéreos,-,0,43382,2018,PNP,43382,43397,Disponível,Disponível,Disponível,N/D,N/D,N/D,Resolução nº 496,43437,Disponível,43558
ANAC_2018_Audiência Pública nº 24/2018_274,ANAC,2018,Audiência Pública nº 24/2018,Audiência Pública,"Proposta de revisão da Resolução nº 279, de 10 de julho de 2013, e de emenda ao Regulamento Brasileiro da Aviação Civil - RBAC nº 153, intitulado “Aeródromos - Operação, Manutenção e Resposta à Emergência”.",Normas e regulamentos,Infraestrutura aeronáutica e aeroportuária,-,0,43409,2018,PNP,43409,43439,Disponível,Disponível,Disponível,N/D,N/D,N/D,Resolução nº 517,43599,Disponível,43663
ANAC_2018_Audiência Pública nº 23/2018_273,ANAC,2018,Audiência Pública nº 23/2018,Audiência Pública,"proposta de emenda ao Regulamento Brasileiro da Aviação Civil - RBAC nº 154, intitulado “Projeto de Aeródromos”,",Normas e regulamentos,Infraestrutura aeronáutica e aeroportuária,-,0,43410,2018,PNP,43410,43439,Disponível,Disponível,Disponível,N/D,N/D,N/D,Resolução nº 513,43571,Disponível,43663
ANAC_2018_Audiência Pública nº 25/2018._275,ANAC,2018,Audiência Pública nº 25/2018.,Audiência Pública,Proposta de resolução que regulamenta o processo eletrônico no âmbito da ANAC.,Normas e regulamentos,Administração e planejamento,-,0,43434,2018,PNP,43434,43465,Disponível,Disponível,Disponível,N/D,N/D,N/D,Resolução nº 520,43649,Disponível,43558
ANAC_2018_Audiência Pública nº 26/2018_276,ANAC,2018,Audiência Pública nº 26/2018,Audiência Pública,"Proposta de emendas aos seguintes Regulamentos Brasileiros da Aviação Civil - RBACs: RBAC nº 21, intitulado ""Certificação de produto aeronáutico""; RBAC nº 23, intitulado ""Requisitos de aeronavegabilidade: aviões categoria normal""; RBAC nº 35, intitulado ""Requisitos de aeronavegabilidade: hélices""; RBAC nº 43, intitulado ""Manutenção, Manutenção Preventiva, Reconstrução e Alteração""; RBAC nº 91, intitulado ""Requisitos Gerais de Operação para Aeronaves Civis""; RBAC nº 121, intitulado ""Requisitos operacionais: operações domésticas, de bandeira e suplementares""; e RBAC nº 135, intitulado ""Requisitos operacionais: operações complementares e por demanda"".",Normas e regulamentos,Produtos aeronáuticos,-,0,43448,2018,PNP,43448,43479,Disponível,Disponível,N/D,N/D,N/D,N/D,Resolução nº 524,43679,Disponível,43558
ANAC_2018_Consulta Pública nº 2/2018_278,ANAC,2018,Consulta Pública nº 02/2018,Consulta Pública,"Proposta de revisão D da Instrução Suplementar nº 183-002, intitulada “Credenciamento de Pessoa Física na SAR”",Normas e regulamentos,Formação de profissionais,-,0,43455,2018,PNP,43455,43511,Disponível,Disponível,N/D,N/D,N/D,N/D,N/D,N/D,N/D,43558
ANAC_2018_Consulta Pública nº 1/2018_277,ANAC,2018,Consulta Pública nº 01/2018,Consulta Pública,"Proposta de revisão A da Instrução Suplementar nº 21.231-001, intitulada “Certificado de Organização de Projeto”.",Normas e regulamentos,Serviços aéreos,-,0,43455,2018,PNP,43455,43486,Disponível,Disponível,N/D,N/D,N/D,N/D,N/D,N/D,N/D,43558
ANAC_2018_Consulta Pública nº 3/2018_281,ANAC,2018,Consulta Pública nº 03/2018,Consulta Pública,"Proposta de revisão à Diretriz de Segurança da Aviação Civil contra Atos de Interferência Ilícita nº 02-2016, Revisão B (DAVSEC nº 02-2016B), que estabelece parâmetros quantitativos para a realização dos procedimentos de inspeção de segurança aleatória nos aeródromos civis públicos brasileiros, para os fins do disposto na Instrução Suplementar (IS) nº 107-001C.",Normas e regulamentos,Infraestrutura aeronáutica e aeroportuária,-,0,N/D,N/D,PNP,43457,43472,Disponível,Disponível,Disponível,N/D,N/D,N/D,Portaria nº 228,43493,Disponível,43558
ANAC_2019_Audiência Pública nº 03/2019_284,ANAC,2019,Audiência Pública nº 03/2019,Audiência Pública,"Proposta de alteração da Resolução nº 458, de 20 de dezembro de 2017, que regulamenta o uso de sistemas informatizados para registro e guarda de informações por regulados da ANAC.",Normas e regulamentos,Administração e planejamento,-,0,43511,2019,PNP,43511,43528,Disponível,Disponível,Disponível,43555,N/D,N/D,Resolução nº 511,43567,Disponível,43906
ANAC_2019_Audiência Pública nº 01/2019_282,ANAC,2019,Audiência Pública nº 01/2019,Audiência Pública,Proposta de resolução que regulamenta as informações contábeis a serem apresentadas pelos administradores de aeroporto.,Normas e regulamentos,Infraestrutura aeronáutica e aeroportuária,-,0,43511,2019,PNP,43511,43542,Disponível,Disponível,Disponível,N/D,N/D,N/D,Resolução nº 522,43671,Disponível,43906
ANAC_2019_Audiência Pública nº 02/2019_283,ANAC,2019,Audiência Pública nº 02/2019,Audiência Pública,"Proposta de edição de emenda ao Regulamento Brasileiro da Aviação Civil - RBAC nº 26, intitulado “Aeronavegabilidade Continuada e Melhorias na Segurança para Aviões Categoria Transporte”.",Normas e regulamentos,Produtos aeronáuticos,-,0,43511,2019,PNP,43511,43542,Disponível,Disponível,N/A,N/A,N/A,N/A,Resolução nº 518,43609,Disponível,43906
